app,scen,case,time
gromacs,A,C1,473
gromacs,A,C1,472
gromacs,A,C1,490
gromacs,A,C2,199
gromacs,A,C2,201
gromacs,A,C2,201
gromacs,A,C3,168
gromacs,A,C3,164
gromacs,A,C3,165
gromacs,B,C1,330
gromacs,B,C1,330
gromacs,B,C1,331
gromacs,B,C2,296
gromacs,B,C2,298
gromacs,B,C2,295
gromacs,B,C3,203
gromacs,B,C3,185
gromacs,B,C3,186
gromacs,C,C1,425
gromacs,C,C1,425
gromacs,C,C1,425
gromacs,C,C2,331
gromacs,C,C2,328
gromacs,C,C2,394
gromacs,C,C3,229
gromacs,C,C3,193
gromacs,C,C3,195
gromacs,D,C1,520
gromacs,D,C1,517
gromacs,D,C1,521
gromacs,D,C2,406
gromacs,D,C2,498
gromacs,D,C2,498
gromacs,D,C3,199
gromacs,D,C3,183
gromacs,D,C3,183
CM1,A,C1,319
CM1,A,C1,334
CM1,A,C1,314
CM1,A,C2,144
CM1,A,C2,148
CM1,A,C2,150
CM1,A,C3,109
CM1,A,C3,128
CM1,A,C3,128
CM1,B,C1,216
CM1,B,C1,216
CM1,B,C1,216
CM1,B,C2,199
CM1,B,C2,200
CM1,B,C2,199
CM1,B,C3,152
CM1,B,C3,153
CM1,B,C3,152
CM1,C,C1,276
CM1,C,C1,276
CM1,C,C1,276
CM1,C,C2,259
CM1,C,C2,258
CM1,C,C2,260
CM1,C,C3,180
CM1,C,C3,181
CM1,C,C3,181
CM1,D,C1,346
CM1,D,C1,345
CM1,D,C1,346
CM1,D,C2,329
CM1,D,C2,328
CM1,D,C2,330
CM1,D,C3,212
CM1,D,C3,212
CM1,D,C3,211
stream-mpi,A,C1,557
stream-mpi,A,C1,557
stream-mpi,A,C1,577
stream-mpi,A,C2,218
stream-mpi,A,C2,218
stream-mpi,A,C2,220
stream-mpi,A,C3,161
stream-mpi,A,C3,161
stream-mpi,A,C3,139
stream-mpi,B,C1,371
stream-mpi,B,C1,370
stream-mpi,B,C1,369
stream-mpi,B,C2,316
stream-mpi,B,C2,315
stream-mpi,B,C2,313
stream-mpi,B,C3,192
stream-mpi,B,C3,191
stream-mpi,B,C3,191
stream-mpi,C,C1,475
stream-mpi,C,C1,472
stream-mpi,C,C1,474
stream-mpi,C,C2,418
stream-mpi,C,C2,421
stream-mpi,C,C2,421
stream-mpi,C,C3,232
stream-mpi,C,C3,221
stream-mpi,C,C3,222
stream-mpi,D,C1,584
stream-mpi,D,C1,557
stream-mpi,D,C1,584
stream-mpi,D,C2,527
stream-mpi,D,C2,530
stream-mpi,D,C2,541
stream-mpi,D,C3,242
stream-mpi,D,C3,251
stream-mpi,D,C3,253
